player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Sawyer Robertson,146839,QB,BAYLOR,9,69.0,355,368,9.5,2.62,4,20,5.0,62.5,230,0,100,6.1,398,15,130,118,79.4,73.7,72.0,61.7,2,8,433,1,14.0,100.2,3.5,14,14,0,7,26,16,3.7,2782,7.6
Caden Veltkamp,156642,QB,FAU,8,74.1,324,342,7.6,2.51,4,14,3.9,65.8,225,0,85,6.3,375,15,106,165,60.3,69.1,69.8,55.6,3,11,395,0,17.6,87.3,4.0,15,18,0,11,16,15,3.8,2312,6.8
Jaylen Raynor,172203,QB,ARK STATE,9,73.1,316,332,8.0,2.74,3,10,2.8,66.3,220,0,105,4.8,388,11,119,113,55.8,71.4,63.1,78.3,2,6,420,1,23.8,87.4,6.4,25,29,0,11,11,17,4.1,2118,6.4
Nick Minicucci,173617,QB,DELAWARE,8,72.0,311,328,9.7,2.63,1,20,5.6,63.7,209,1,91,6.7,356,15,112,151,63.0,80.0,77.2,69.8,6,4,386,2,15.4,96.3,3.9,14,13,1,9,15,11,2.8,2434,7.4
Walker Eget,146170,QB,S JOSE ST,8,69.4,301,324,12.8,2.71,6,24,7.0,58.3,189,0,94,9.6,339,20,112,285,59.7,76.1,75.0,59.4,1,3,356,1,6.4,97.8,1.8,6,9,4,12,17,15,4.2,2606,8.0
Nicholas Vattiato,145302,QB,MIDDLE TN,8,70.6,296,323,7.4,2.55,8,6,1.8,59.4,192,0,89,8.1,370,17,101,224,49.9,60.1,62.9,46.7,0,6,392,0,20.2,81.9,4.9,18,29,4,15,13,6,1.5,1908,5.9
Jaron-Keawe Sagapolutele,198237,QB,CAL,9,73.4,297,320,9.5,2.69,9,17,5.0,60.3,193,0,116,11.5,355,25,107,130,56.1,75.8,77.2,47.0,1,9,375,1,18.1,80.7,5.9,21,11,3,10,11,14,3.7,2196,6.9
Kevin Jennings,158272,QB,SMU,9,78.2,294,318,7.9,2.69,6,17,5.1,66.7,212,0,95,7.8,357,18,108,287,57.4,76.5,77.1,56.9,4,8,376,1,16.8,98.6,4.5,16,21,0,14,18,12,3.2,2489,7.8
Drew Mestemaker,190616,QB,N TEXAS,9,78.3,295,312,8.0,2.58,6,19,5.7,69.2,216,0,84,6.5,338,15,137,251,63.9,88.6,87.3,63.3,2,4,358,0,15.5,113.0,3.8,13,13,1,8,21,8,2.2,2704,8.7
Athan Kaliakmanis,144971,QB,RUTGERS,9,70.6,289,307,10.8,2.74,6,16,5.0,61.9,190,0,106,6.9,363,14,125,278,79.7,81.5,81.1,61.1,3,5,378,0,27.4,94.6,8.0,29,27,1,8,13,8,2.1,2476,8.1
