player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Mason White,43872,S,OREGON ST,8,4,0,100.0,0,1,265,0,0,80.8,72.2,79.5,63.6,53.3,71.0,0,0,0,0,6,10.5,2,1,0,91.7,1,0,0,69,2,54,127,0,0,0,0,0,40,127,3,70,15,4,13,1,1,0,0,6,2,6.0
James Camden,53418,LB,W MICHIGAN,9,12,0,69.2,0,2,347,0,0,76.4,78.9,82.8,73.9,73.0,64.7,1,3,0,0,24,13.7,7,0,0,112.0,9,3,0,359,0,167,412,12,0,0,12,0,0,400,45,200,41,20,32,2,13,7,1,83,60,9.2
Iesa Jarmon,53981,CB,AKRON,1,0,0,100.0,0,0,102,0,0,49.4,49.5,71.0,,60.0,21.7,0,0,0,0,37,100.0,1,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5
Malik Denkins,55516,ED,C MICHIGAN,5,3,0,,0,0,134,0,0,61.2,62.6,78.3,53.8,61.5,77.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,53,53,5,0,42,6,0,0,21,32,0,3,3,0,0,0,0,0,0,
Shaun Myers,62235,LB,COLORADO,9,4,0,83.3,0,0,143,0,0,68.1,62.3,81.2,57.4,56.5,71.8,0,1,0,0,19,7.1,1,0,0,129.2,5,0,0,125,2,52,144,13,0,0,13,0,0,131,13,79,4,5,9,3,6,1,1,33,40,6.6
Will Whitson,64470,ED,MISS STATE,2,2,0,,0,0,227,0,0,,81.1,76.9,74.8,75.4,78.8,0,4,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,
Mister Williams,70521,LB,S DIEGO ST,8,10,0,54.5,0,0,284,0,0,69.2,80.5,81.0,72.1,88.1,74.9,1,2,0,0,35,6.1,2,1,0,71.4,6,0,0,235,2,151,295,9,0,0,9,0,0,286,16,128,49,16,21,2,11,3,0,63,40,10.5
Ben Florentine,70644,DI,WYOMING,9,9,1,,0,0,351,0,0,60.3,78.6,85.2,71.1,78.4,74.6,4,7,0,0,,4.3,1,0,0,0.0,0,4,0,1,0,2,413,412,56,301,3,52,0,1,209,202,0,14,13,2,0,15,0,0,0,
Korey Foreman,70831,ED,FRESNO ST,9,4,1,100.0,0,0,169,0,0,50.0,66.2,85.4,64.8,68.9,63.8,2,7,0,0,17,16.7,3,1,0,118.8,2,3,0,0,0,11,223,223,0,4,216,3,0,0,129,83,0,10,11,2,2,12,0,33,10,16.5
Calvin Pitcher,70877,LB,UAB,8,9,0,75.0,0,0,321,0,0,47.7,66.2,84.1,53.5,78.0,65.2,0,1,0,0,65,14.7,5,0,0,116.7,3,1,0,156,0,62,219,45,0,0,44,1,0,174,10,147,18,12,20,0,4,2,0,90,69,30.0
Tate Romney,70946,LB,ARIZONA ST,7,1,0,75.0,0,0,110,0,0,56.4,52.8,0.0,55.6,57.9,44.9,0,0,0,0,30,25.0,3,1,1,156.3,3,0,0,61,0,38,76,4,0,0,4,0,2,72,4,34,9,2,8,0,4,0,1,50,24,16.7
Domani Jackson,71370,CB,ALABAMA,8,4,0,71.4,0,0,103,0,0,63.9,62.7,16.4,67.2,58.9,87.8,0,1,0,0,38,3.6,1,1,4,121.4,10,0,0,30,271,183,314,7,0,0,7,0,6,307,3,128,0,8,23,2,14,1,1,121,27,12.1
Keanu Tanuvasa,71398,DI,BYU,8,5,1,,0,0,128,0,0,68.8,64.1,25.6,65.8,61.8,57.2,1,8,0,0,,20.0,3,0,2,0.0,0,1,0,2,0,0,283,281,148,116,0,17,0,2,158,125,0,7,7,1,0,10,0,0,0,
Aaron Smith,71596,CB,NEW MEXICO,2,0,0,100.0,0,0,241,0,0,46.7,46.1,76.3,,53.8,41.8,0,0,0,0,7,50.0,1,0,0,90.3,3,0,0,2,1,13,25,0,0,0,0,0,1,25,0,12,21,0,1,0,3,0,0,17,15,5.7
DJ Harvey,72089,CB,USC,5,1,0,63.6,0,0,326,0,0,40.5,42.5,78.1,,64.1,54.2,0,0,0,0,75,20.0,1,0,1,146.8,7,0,0,2,80,59,87,0,0,0,0,0,1,87,0,28,4,0,3,0,11,0,2,178,54,25.4
Solomone Langi,72318,DI,S JOSE ST,7,4,0,,0,0,285,0,0,73.4,78.0,80.8,61.4,79.4,61.3,1,0,0,0,,12.5,1,0,0,0.0,0,1,0,0,0,1,117,117,71,46,0,0,0,0,51,65,0,3,3,0,0,2,0,0,0,
Raider Damuni,72338,S,BYU,6,7,0,66.7,0,0,128,0,0,68.2,65.4,79.0,64.5,58.9,69.2,0,2,0,1,15,11.1,3,0,0,43.5,6,0,0,88,1,99,202,3,0,0,3,0,59,199,3,100,51,8,17,0,9,2,0,55,16,9.2
Justin Flowe,72388,LB,UNLV,5,4,0,50.0,0,0,325,0,0,72.3,77.2,0.0,59.8,85.1,63.7,0,1,0,0,5,11.1,1,1,1,56.3,1,0,0,45,0,26,54,5,0,0,5,0,0,49,8,20,4,2,4,0,2,1,0,5,8,5.0
Ian Shewell,72474,DI,ARIZONA ST,1,0,0,,0,0,110,0,0,60.2,62.2,70.3,58.1,60.9,71.3,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,9,9,0,8,0,1,0,0,5,3,0,0,1,0,0,0,0,0,0,
Jadon Pearson,72538,LB,FRESNO ST,9,20,0,82.6,0,0,169,0,0,70.7,69.5,85.4,54.4,68.5,79.9,0,3,0,0,41,7.5,6,1,0,96.7,19,0,0,421,2,238,499,40,0,0,40,0,1,459,37,224,33,30,54,5,23,3,0,166,159,8.7
Marco Notarainni,73389,LB,BOISE ST,9,11,0,61.5,0,0,120,1,0,66.4,71.9,45.3,67.6,71.0,66.7,8,13,0,0,36,13.8,8,0,1,83.8,8,1,0,446,4,167,482,13,0,0,13,0,0,469,68,247,19,28,39,2,13,22,0,95,65,11.9
Trent Whalen,73609,LB,ARKANSAS,6,0,0,100.0,0,0,111,0,0,44.9,53.1,74.1,64.6,69.9,82.7,1,2,0,0,21,0.0,0,0,0,118.8,6,0,0,26,0,19,32,1,0,0,1,0,0,31,3,10,4,4,7,0,6,3,0,87,51,14.5
Gio De Leon,73658,LB,BUFFALO,3,0,0,100.0,0,0,126,0,0,63.7,59.5,73.0,58.1,56.8,73.0,0,0,0,0,9,0.0,0,0,0,104.2,1,0,0,10,0,7,15,5,0,1,4,0,0,10,3,5,0,1,1,0,1,0,0,9,8,9.0
Cory Hall,73699,DI,UNLV,2,0,0,,0,0,325,0,0,,50.5,70.9,58.0,58.9,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,9,9,1,6,0,2,0,0,5,4,0,0,0,0,0,0,0,0,0,
Taariq Al-Uqdah,74119,LB,WASHINGTON,3,1,0,50.0,0,0,340,0,0,63.2,67.4,80.5,68.8,65.6,78.4,0,2,0,0,25,6.7,1,0,0,64.6,4,1,0,139,5,80,152,3,0,0,3,0,0,149,16,56,4,9,13,1,8,3,0,40,14,10.0
Ryan Quintanar,74152,LB,USC,1,0,0,,0,0,326,0,0,60.0,50.8,69.1,,51.5,20.0,0,0,0,0,,100.0,1,0,0,0.0,0,0,0,5,0,1,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,
Justin Sinclair,74258,S,HAWAII,6,0,0,66.7,0,2,180,0,0,61.0,63.6,76.4,60.0,67.7,83.9,0,0,0,0,13,0.0,0,0,1,86.8,2,0,0,19,1,25,50,1,0,0,1,0,9,49,1,24,19,0,6,0,3,0,0,21,5,10.5
Zion Branch,74395,S,GEORGIA,4,1,0,80.0,0,0,173,0,0,54.7,61.6,79.2,59.6,77.0,76.0,0,0,0,0,20,7.1,1,0,1,105.0,4,0,0,30,0,53,97,2,0,0,2,0,52,95,1,43,13,5,12,0,5,0,0,46,16,11.5
Jaymar Mundy,75041,CB,OHIO,5,0,0,60.0,2,0,259,0,0,56.2,53.2,0.0,,58.6,59.0,0,0,0,0,42,25.0,1,0,2,143.8,3,0,0,3,55,34,60,0,0,0,0,0,0,60,0,26,1,1,3,0,5,0,1,63,9,21.0
Silas Walters,75263,S,MIAMI OH,7,11,0,53.8,0,0,221,0,0,70.8,71.2,38.5,61.9,75.0,55.8,0,4,0,2,23,20.0,9,4,2,74.7,21,0,0,96,2,261,437,18,0,0,18,0,31,419,8,168,290,9,25,0,39,4,3,220,69,10.5
Aneesh Vyas,75285,DI,WYOMING,7,1,0,,0,0,351,0,0,60.0,59.0,81.9,49.9,62.7,62.4,1,1,0,0,,9.1,1,1,0,0.0,0,0,0,0,0,0,221,221,31,148,5,37,0,0,123,98,0,5,9,0,0,2,0,0,0,
Bam Booker,76122,ED,BOWL GREEN,9,3,0,,0,0,122,0,0,61.8,58.0,83.0,53.5,59.4,79.4,0,4,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,0,280,279,12,110,119,38,0,1,143,137,0,6,10,0,0,4,0,0,0,
Solomon Vanhorse,78573,HB,INDIANA,1,0,0,,0,0,190,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
Moroni Anae,81437,LB,UTAH,6,1,1,,0,0,328,0,0,58.6,81.5,75.9,74.5,85.6,60.7,0,1,0,0,,20.0,1,0,0,0.0,0,0,0,26,0,9,31,5,0,0,5,0,0,26,7,15,0,2,3,0,0,1,0,0,0,
Brendon Harris,83446,S,MIDDLE TN,8,6,0,55.6,0,0,224,0,0,66.8,70.2,84.7,57.6,74.5,90.4,0,0,0,0,56,0.0,0,0,0,122.7,5,0,0,100,3,134,297,27,0,0,27,0,100,270,4,159,67,10,20,3,9,0,2,75,38,15.0
Jayden Dunlap,85725,CB,BYU,5,0,0,100.0,0,0,128,0,0,49.2,53.3,76.4,71.4,63.5,28.3,0,0,0,0,35,50.0,1,0,0,158.3,2,0,0,4,53,33,58,0,0,0,0,0,0,58,1,24,1,0,1,0,2,0,1,62,2,31.0
Gracen Halton,85774,DI,OKLAHOMA,9,2,1,,0,0,261,1,1,59.3,82.0,83.0,77.5,79.0,63.9,1,16,0,0,,18.8,3,0,0,0.0,0,4,0,0,0,1,275,275,46,185,15,29,0,0,170,104,0,13,11,2,0,21,0,0,0,
Kalib Perry,86267,LB,LOUISVILLE,8,5,1,75.0,0,0,210,0,0,59.4,68.8,81.3,57.3,76.6,55.0,1,2,0,1,24,15.8,6,1,0,91.7,12,0,0,199,0,111,241,27,0,0,27,0,0,214,21,109,15,19,27,2,16,3,1,124,47,10.3
Blake Ruffin,86298,S,LOUISVILLE,3,3,0,100.0,0,0,210,0,0,70.3,70.9,76.3,60.0,68.3,63.9,0,0,0,0,7,14.3,1,0,0,95.8,1,0,0,10,0,17,42,4,0,0,4,0,16,38,1,24,12,1,3,0,1,0,0,7,10,7.0
Jalil Tucker,86578,CB,OREGON ST,8,2,0,56.8,1,0,265,0,0,53.1,55.9,83.1,52.9,69.5,46.8,0,0,0,1,61,23.1,6,1,4,98.0,21,0,0,34,335,211,379,0,0,0,0,0,1,379,5,163,9,3,18,0,37,0,2,372,150,17.7
Jackson Schulz,86773,S,KENTUCKY,2,0,0,,0,0,202,0,0,60.0,62.8,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,
Ceyair Wright,86877,CB,NEBRASKA,9,6,0,51.6,0,0,238,0,0,70.4,71.5,36.8,60.0,74.9,51.7,0,0,0,0,25,20.8,5,4,2,64.9,16,0,0,73,125,235,450,10,0,0,10,0,5,440,1,214,237,3,13,1,31,0,0,147,117,9.2
David Reese,90079,ED,SYRACUSE,9,4,1,75.0,0,0,304,2,0,56.4,61.4,67.6,65.7,57.5,87.9,2,15,0,0,24,0.0,0,0,1,116.7,3,2,0,15,0,46,417,387,0,7,375,5,0,30,208,163,14,9,17,1,4,19,0,54,42,18.0
Chance Tucker,90524,CB,NOTRE DAME,2,0,0,,0,0,258,0,0,63.7,62.6,71.9,55.4,61.5,,0,0,0,0,,,0,0,0,0.0,0,0,0,1,14,6,16,0,0,0,0,0,0,16,1,9,1,0,0,0,0,0,0,0,0,
